title,info,price,dprice
日产 奇骏 2014款 2.0 自动 XL舒适版前驱,"2016年,｜,2.4万公里","
                17.59
                                                万
                ","
                                            首付5.62万
                                                    月供4201元
                                             
                                    "
宝马 X5 2014款 3.0T 自动 35i典雅型,"2015年,｜,7.8万公里","
                59.80
                                                万
                ","
                                            首付19.10万
                                                    月供14281元
                                             
                                    "
丰田 凯美瑞 2013款 2.0 自动 200G经典豪华版,"2013年,｜,6.0万公里","
                12.80
                                                万
                ","
                                            首付4.09万
                                                    月供3057元
                                             
                                    "
宝马 X3 2016款 2.0T 自动 20i后驱,"2016年,｜,1.9万公里","
                34.88
                                                万
                ","
                                            首付11.14万
                                                    月供8330元
                                             
                                    "
奔驰 E级 2014款 1.8T 自动 E260L运动型,"2014年,｜,9.8万公里","
                29.80
                                                万
                ","
                                            首付9.52万
                                                    月供7117元
                                             
                                    "
奔驰 C级 2015款 2.0T 自动 C200L,"2015年,｜,2.2万公里","
                31.50
                                                万
                ","
                                            首付10.06万
                                                    月供7523元
                                             
                                    "
奥迪 A6L 2014款 2.0T 自动 TFSI标准型,"2013年,｜,6.8万公里","
                26.38
                                                万
                ","
                                            首付8.43万
                                                    月供6300元
                                             
                                    "
别克 君越 2014款 2.0T 自动 智享旗舰型,"2015年,｜,7.7万公里","
                15.63
                                                万
                ","
                                            首付4.99万
                                                    月供3733元
                                             
                                    "
宝马 5系 2014款 2.0T 自动 525Li领先型,"2014年,｜,5.7万公里","
                31.80
                                                万
                ","
                                            首付10.16万
                                                    月供7594元
                                             
                                    "
铃木 锋驭 2014款 1.6 手动 精英型前驱,"2014年,｜,8.8万公里","
                6.32
                                                万
                ","
                                            首付2.02万
                                                    月供1509元
                                             
                                    "
现代 ix35 2013款 2.0 自动 GLS智能型前驱 国IV,"2013年,｜,6.2万公里","
                9.68
                                                万
                ","
                                            首付3.09万
                                                    月供2312元
                                             
                                    "
丰田 皇冠 2012款 2.5 自动 Royal真皮版,"2014年,｜,6.6万公里","
                22.88
                                                万
                ","
                                            首付7.31万
                                                    月供5464元
                                             
                                    "
奔驰 E级 2016款 2.0T 自动 E200L运动型,"2016年,｜,3.2万公里","
                41.80
                                                万
                ","
                                            首付13.35万
                                                    月供9982元
                                             
                                    "
现代 瑞纳三厢 2014款 1.4 自动 GLS智能型,"2016年,｜,2.7万公里","
                5.70
                                                万
                ","
                                            首付1.82万
                                                    月供1361元
                                             
                                    "
日产 轩逸 2012款 1.6 自动 XE舒适版经典款,"2015年,｜,4.9万公里","
                7.90
                                                万
                ","
                                            首付2.52万
                                                    月供1887元
                                             
                                    "
日产 天籁 2011款 2.0 自动 XL荣耀版,"2012年,｜,5.0万公里","
                10.68
                                                万
                ","
                                            首付3.41万
                                                    月供2551元
                                             
                                    "
日产 NV200 2011款 1.6 手动 尊雅型232座,"2011年,｜,8.1万公里","
                5.90
                                                万
                ","
                                            首付1.88万
                                                    月供1409元
                                             
                                    "
沃尔沃 XC90 2011款 2.5T 自动 T5北欧行政版,"2011年,｜,7.2万公里","
                21.50
                                                万
                ","
                                            首付6.87万
                                                    月供5134元
                                             
                                    "
丰田 花冠 2013款 1.6 自动 豪华型,"2014年,｜,11.7万公里","
                7.68
                                                万
                ","
                                            首付2.45万
                                                    月供1834元
                                             
                                    "
丰田 凯美瑞 2013款 2.5 自动 G舒适版,"2013年,｜,5.4万公里","
                13.60
                                                万
                ","
                                            首付4.34万
                                                    月供3248元
                                             
                                    "
宝马 3系三厢 2012款 2.0 自动 318i领先型,"2012年,｜,7.5万公里","
                14.97
                                                万
                ","
                                            首付4.78万
                                                    月供3575元
                                             
                                    "
启辰 D50 2012款 1.6 手动 舒适版,"2012年,｜,7.5万公里","
                3.90
                                                万
                ","
                                            首付1.25万
                                                    月供931元
                                             
                                    "
日产 轩逸 2012款 1.8 自动 XL豪华版,"2013年,｜,3.6万公里","
                9.30
                                                万
                ","
                                            首付2.97万
                                                    月供2221元
                                             
                                    "
斯巴鲁 力狮 2016款 2.5 自动 荣耀版,"2016年,｜,3.7万公里","
                19.97
                                                万
                ","
                                            首付6.38万
                                                    月供4769元
                                             
                                    "
