brand_id,series_id,mode_id,brand_name,series_name,mode_name,price,dp_price,month_price
51,582,90015509,五菱汽车,荣光,2017款 1.5L加长基本型,4.71万,首付0.44万,月供1390元
51,90001077,90012540,五菱汽车,宏光S3,2018款 1.5T 手动豪华型,8.18万,首付0.81万,月供2499元
51,2925,90015512,五菱汽车,荣光小卡,2017款 1.5L 双排基本型L3C,4.09万,首付0.38万,月供1206元
133,90001092,90014806,宝骏,310W,2017款 1.5L 手动豪华型,6.58万,首付0.64万,月供1993元
133,90000133,90010305,宝骏,510,2017款 1.5L 手动舒适型,5.48万,首付0.53万,月供1669元
133,3333,90012977,宝骏,310,2017款 1.5L 手动舒适型,4.58万,首付0.44万,月供1401元
133,3168,90013628,宝骏,560,2017款 1.5T 手动舒适型 7座,8.58万,首付0.83万,月供2546元
133,3007,90011205,宝骏,730,2017款 1.5T 手动豪华型 7座,8.98万,首付0.87万,月供2656元
133,90001280,90016210,宝骏,530,2018款 1.8L 自动精英型,8.98万,首付0.86万,月供2637元
92,2797,90014090,斯柯达,速派,2018款 TSI 280 DSG标准版,17.98万,首付1.42万,月供4278元
92,90001135,90016608,斯柯达,柯珞克,2018款 TSI280 舒适版,15.69万,首付1.52万,月供4519元
31,1002,90014119,雷克萨斯,GS,2017款 300 领先版,45.90万,首付7.08万,月供12147元
31,1006,90012731,雷克萨斯,IS,2017款 300 领先版,32.49万,首付3.06万,月供9010元
31,1950,90013520,雷克萨斯,CT,2017款 CT200h 精英版 单色,22.90万,首付2.16万,月供6362元
108,2957,90013748,上汽大通,G10,2018款 PLUS 2.0T 自动精英版,16.38万,首付1.60万,月供4753元
145,2975,90014639,马自达,阿特兹,2018款 2.0L 蓝天时尚版,17.58万,首付1.70万,月供5037元
71,90000077,90015176,雪铁龙,C6,2017款 改款 350THP 舒适型,18.99万,首付1.70万,月供5071元
51,582,90015508,五菱汽车,荣光,2017款 1.2L加长基本型,4.46万,首付0.42万,月供1321元
51,90001077,90015012,五菱汽车,宏光S3,2018款 1.5T 手动舒适型,7.38万,首付0.73万,月供2261元
133,90001092,90013258,宝骏,310W,2017款 1.5L 手动时尚型,5.68万,首付0.55万,月供1725元
133,90000133,90010302,宝骏,510,2017款 1.5L 手动时尚型,6.28万,首付0.61万,月供1906元
133,3333,90012978,宝骏,310,2017款 1.5L 手动时尚型,4.98万,首付0.48万,月供1520元
133,3168,90013627,宝骏,560,2017款 1.5T DCT舒适型,9.38万,首付0.91万,月供2797元
133,3007,90015303,宝骏,730,2017款 1.5T 手动风尚型 7座,8.78万,首付0.85万,月供2597元
133,90001280,90016021,宝骏,530,2018款 1.5T 手动精英型,8.38万,首付0.80万,月供2464元
108,2957,90013750,上汽大通,G10,2018款 PLUS 2.0T 自动豪华版,18.78万,首付1.84万,月供5454元
51,90001077,90015011,五菱汽车,宏光S3,2018款 1.5L 手动豪华型,7.38万,首付0.73万,月供2261元
133,90001092,90013257,宝骏,310W,2017款 1.5L 手动舒适型,4.98万,首付0.48万,月供1517元
133,90000133,90014006,宝骏,510,2017款 1.5L 自动时尚型,6.88万,首付0.67万,月供2085元
133,3333,90014172,宝骏,310,2017款 1.5L 自动舒适型,5.18万,首付0.50万,月供1579元
133,3168,90013629,宝骏,560,2017款 1.8L iAMT舒适型,7.58万,首付0.73万,月供2254元
133,3007,90011206,宝骏,730,2017款 1.5T 手动尊享型 7座,9.68万,首付0.94万,月供2867元
133,90001280,90016020,宝骏,530,2018款 1.5T 手动舒适型,7.58万,首付0.72万,月供2235元
51,90001077,90015010,五菱汽车,宏光S3,2018款 1.5L 手动舒适型,6.58万,首付0.65万,月供2023元
133,90001092,90012570,宝骏,310W,2017款 1.2L 手动超值型,4.28万,首付0.41万,月供1309元
133,90000133,90010220,宝骏,510,2017款 1.5L 手动豪华型,6.98万,首付0.68万,月供2114元
133,3333,90012979,宝骏,310,2017款 1.5L 手动豪华型,5.38万,首付0.52万,月供1639元
133,3168,90010317,宝骏,560,2017款 律动版 1.5T 手动乐享型,9.88万,首付0.95万,月供2918元
133,3007,90011208,宝骏,730,2017款 1.8L iAMT豪华型 7座,9.58万,首付0.93万,月供2835元
133,90001280,90016022,宝骏,530,2018款 1.5T 手动豪华型,9.18万,首付0.88万,月供2697元
51,90001077,90015009,五菱汽车,宏光S3,2018款 1.5L 手动标准型,5.68万,首付0.56万,月供1753元
133,90000133,90014007,宝骏,510,2017款 1.5L 自动豪华型,7.58万,首付0.74万,月供2293元
133,3333,90014173,宝骏,310,2017款 1.5L 自动时尚型,5.58万,首付0.54万,月供1698元
133,3168,90013626,宝骏,560,2017款 1.5T DCT精英型,10.08万,首付0.98万,月供2937元
133,3007,90015304,宝骏,730,2017款 1.5T 手动致尚型 7座,9.58万,首付0.93万,月供2835元
133,90001280,90016023,宝骏,530,2018款 1.5T 手动尊贵型,9.88万,首付0.95万,月供2896元
133,90000133,90015899,宝骏,510,2018款 1.5L 自动周年特别版,7.68万,首付0.76万,月供2344元
133,3333,90014174,宝骏,310, 2017款 1.5L 自动豪华型,6.08万,首付0.59万,月供1847元
133,3168,90010826,宝骏,560,2017款 律动版 1.8L AMT智能尊享型,10.58万,首付1.02万,月供3047元
133,3007,90015300,宝骏,730,2017款 1.5T DCT风尚型 7座,9.98万,首付0.97万,月供2967元
133,90001280,90016211,宝骏,530,2018款 1.8L 自动豪华型,9.88万,首付0.95万,月供2896元
133,3168,90010825,宝骏,560,2017款 律动版 1.5T 手动尊享型,10.58万,首付1.02万,月供3064元
133,3007,90011207,宝骏,730,2017款 1.8L iAMT尊享型 7座,10.28万,首付0.99万,月供2982元
133,90001280,90016025,宝骏,530,2018款 1.5T DCT豪华型,10.48万,首付1.00万,月供3015元
133,3168,90013625,宝骏,560,2017款 1.5T DCT尊享型,10.88万,首付1.05万,月供3159元
133,3007,90015301,宝骏,730,2017款 1.5T DCT旗舰型 7座,10.88万,首付1.06万,月供3176元
133,90001280,90016026,宝骏,530,2018款 1.5T DCT旗舰型,11.58万,首付1.11万,月供3325元
133,3168,90013563,宝骏,560,2017款 1.5T DCT旗舰型,11.58万,首付1.12万,月供3364元
133,3007,90015302,宝骏,730,2017款 1.5T 手动时尚型 7座,7.88万,首付0.76万,月供2330元
133,3168,90013564,宝骏,560,2017款 1.5T DCT旗舰版 7座,11.78万,首付1.14万,月供3422元
232,90000125,90011856,宝沃,BX5,2017款 25TGDI 两驱锋锐型,17.98万,首付1.53万,月供4595元
34,368,90013469,别克,君威,2017款 28T 尊享型,22.98万,首付2.14万,月供6303元
34,83,90015227,别克,君越,2018款 30H 豪华版,30.58万,首付2.64万,月供7783元
59,564,90008407,本田,雅阁,2016款 混动 2.0L 锐酷版,23.98万,首付2.10万,月供6211元
55,2844,90012522,现代,名图,2017款 1.8L 手动舒适型GL,12.98万,首付1.08万,月供3260元
59,453,90015887,本田,飞度,2018款 1.5L CVT豪华版,10.28万,首付1.02万,月供3064元
23,90001159,90013239,荣威,RX3,2018款 18T 自动互联网智尊版,13.58万,首付1.30万,月供3887元
145,3302,90013759,马自达,CX-4,2018款 2.0L 自动两驱蓝天品位版,16.98万,首付1.70万,月供5033元
63,3335,90016112,北京,BJ20,2018款 1.5T 手动精英型,10.88万,首付1.04万,月供3129元
63,3280,90011399,北京,BJ80,2017款 2.8TDi 手动豪华五门版,28.80万,首付2.87万,月供8426元
177,3204,90012815,北汽幻速,S6,2017款 1.5T 手动智能型,10.58万,首付0.98万,月供2959元
100,2858,90010822,众泰,T600,2017款 1.5T 手动豪华贺岁版,8.68万,首付0.83万,月供2551元
100,90000184,90012921,众泰,T700,2017款 2.0T 双离合豪华型,12.58万,首付1.23万,月供3672元
244,3187,157441,东风风光,330,2014款 1.5 手动 330实用型5-8座,4.39万,首付0.41万,月供1300元
244,3291,90005889,东风风光,580,2016款 1.8L 手动精英型,7.29万,首付0.69万,月供2140元
83,3337,90015664,吉利汽车,帝豪GL,2018款 1.8L 手动进取型,7.88万,首付0.75万,月供2324元
83,3004,90008878,吉利汽车,帝豪,2017款 三厢百万款 1.3T 手动向上版,8.78万,首付0.88万,月供2688元
83,90001182,90015280,吉利汽车,远景S1,2018款 1.5L 手动锋享型,8.09万,首付0.78万,月供2406元
143,90000603,90013923,广汽传祺,GS3,2017款 150N 自动舒适版,8.28万,首付0.80万,月供2451元
89,159,90016901,丰田,卡罗拉,2018款 双擎 1.8L E-CVT智尚版,15.28万,首付1.50万,月供4454元
245,641,90014731,东风风行,菱智,2018款 M3 1.6L 7座舒适型,6.89万,首付0.67万,月供2079元
8,90000102,90015840,雷诺,科雷傲,2018款 2.0L 两驱舒适版,17.98万,首付1.59万,月供4763元
232,90001308,90015277,宝沃,BX7 TS,2018款 2.0 四驱豪华版,27.68万,首付2.77万,月供8102元
232,3287,90015720,宝沃,BX7,2018款 28T 四驱舒适型 7座,20.18万,首付2.02万,月供5934元
93,1912,90006090,奔腾,B50,2016款 1.4T 自动运动豪华型,10.78万,首付1.01万,月供3031元
93,3196,90010512,奔腾,B30,2017款 1.6L 自动豪华型  ,8.28万,首付0.78万,月供2399元
93,105,90001486,奔腾,B70,2016款 2.0L 手动舒适型,9.98万,首付0.95万,月供2901元
23,90000092,90015387,荣威,i6,2018款 20T 自动互联网智享版,12.68万,首付1.14万,月供3306元
232,90000125,90011854,宝沃,BX5,2017款 25TGDI 两驱都市型,15.98万,首付1.48万,月供4405元
34,368,90013486,别克,君威,2017款 20T 尊贵型,21.98万,首付2.04万,月供6013元
34,83,90015228,别克,君越,2018款 30H 精英型,27.58万,首付2.34万,月供6922元
145,3302,90013758,马自达,CX-4,2018款 2.0L 自动两驱蓝天探索版,16.08万,首付1.61万,月供4771元
63,3335,90016116,北京,BJ20,2018款 1.5T CVT尊贵型,13.98万,首付1.36万,月供4061元
63,3280,90011398,北京,BJ80,2017款 2.8TDi 手动豪华三门版,28.30万,首付2.82万,月供8254元
177,3204,90006151,北汽幻速,S6,2017款 1.5T CVT乐享型,10.68万,首付1.01万,月供3021元
100,2858,90005764,众泰,T600,2016款 1.5T 手动尊贵型,9.88万,首付0.94万,月供2872元
100,90000184,90012916,众泰,T700,2017款 1.8T 双离合豪华型,11.98万,首付1.17万,月供3497元
83,3337,90015667,吉利汽车,帝豪GL,2018款 1.4T 手动精英智联型,8.98万,首付0.86万,月供2648元
83,3004,90008873,吉利汽车,帝豪,2017款 三厢百万款 1.5L CVT豪华型,8.58万,首付0.78万,月供2408元
83,90001182,90013450,吉利汽车,远景S1,2018款 1.4T CVT锋睿型,10.29万,首付1.00万,月供3004元
232,3287,90015718,宝沃,BX7,2018款 28T 两驱质享型 7座,19.58万,首付1.96万,月供5792元
232,90000125,90012320,宝沃,BX5,2017款 25TGDI 手动两驱都市型,14.98万,首付1.38万,月供4113元
34,368,90013467,别克,君威,2017款 20T 豪华型,19.98万,首付1.84万,月供5468元
63,3335,90016114,北京,BJ20,2018款 1.5T CVT精英型,11.88万,首付1.14万,月供3421元
63,3280,90013675,北京,BJ80,2017款 2.3T 自动建军90周年纪念版,31.80万,首付3.15万,月供9227元
177,3204,90006152,北汽幻速,S6,2017款 1.5T CVT尊享型,11.68万,首付1.11万,月供3313元
100,2858,90014168,众泰,T600,2017款 运动版 1.5T 自动旗舰型,13.18万,首付1.28万,月供3811元
100,90000184,90016546,众泰,T700,2018款 1.8T 双离合定制版,13.98万,首付1.36万,月供4056元
83,3004,90014135,吉利汽车,帝豪,2017款 三厢百万款 1.5L 手动向上互联版,8.08万,首付0.73万,月供2259元
34,368,90013465,别克,君威,2017款 20T 领先型,17.58万,首付1.60万,月供4767元
63,3335,90016115,北京,BJ20,2018款 1.5T CVT豪华型,12.98万,首付1.28万,月供3811元
63,3280,90005187,北京,BJ80,2016款 2.3T 自动尊贵版,29.80万,首付2.95万,月供8665元
83,3004,90008874,吉利汽车,帝豪,2017款 三厢百万款 1.5L 手动向上版,7.98万,首付0.80万,月供2450元
34,368,90013487,别克,君威,2017款 30H 精英型,22.98万,首付2.14万,月供6303元
63,3335,90016111,北京,BJ20,2018款 1.5T 手动舒适型,9.68万,首付0.92万,月供2831元
83,3004,90008876,吉利汽车,帝豪,2017款 三厢百万款 1.5L 手动豪华型,7.48万,首付0.75万,月供2302元
34,368,90013468,别克,君威,2017款 28T 尊贵型,23.98万,首付2.24万,月供6592元
83,3004,90008875,吉利汽车,帝豪,2017款 三厢百万款 1.5L 手动时尚型,6.98万,首付0.70万,月供2153元
34,368,90013488,别克,君威,2017款 30H 豪华型,23.98万,首付2.24万,月供6592元
34,368,90013489,别克,君威,2017款 28T GS豪华型,23.98万,首付2.24万,月供6592元
23,90000092,90015385,荣威,i6,2018款 20T 手动豪华版,10.68万,首付0.99万,月供2901元
23,3307,90013375,荣威,RX5,2018款 20T 两驱手动旗舰版,11.98万,首付1.07万,月供3126元
59,453,90015883,本田,飞度,2018款 1.5L CVT舒适版,8.18万,首付0.81万,月供2488元
143,90000081,90008910,广汽传祺,GS8,2017款  320T 两驱豪华版,16.98万,首付1.60万,月供4592元
143,3143,90009655,广汽传祺,GS4,2017款 200T G-DCT两驱舒适版,11.58万,首付1.02万,月供2988元
245,641,90008771,东风风行,菱智,2017款 M3L 1.6L 9座舒适型,6.89万,首付0.67万,月供2068元
93,3196,90010511,奔腾,B30,2017款 1.6L 自动舒适型 ,7.98万,首付0.75万,月供2310元
245,3018,90013591,东风风行,景逸S50,2017款 2.0L 手动豪华型,8.59万,首付0.82万,月供2519元
188,90000509,90013929,凯翼,X5,2017款 1.5T 手动尊贵型,8.49万,首付0.85万,月供2602元
188,3301,90011897,凯翼,X3,2017款 1.6L CVT豪华版,7.99万,首付0.77万,月供2370元
188,90001301,90014970,凯翼,E3,2018款 1.5L 自动豪华型,6.49万,首付0.62万,月供1916元
245,2812,90010180,东风风行,景逸X5,2017款 1.6L 手动尊享型,9.59万,首付0.90万,月供2758元
83,90001182,90015279,吉利汽车,远景S1,2018款 1.5L 手动锋驰型,7.59万,首付0.73万,月供2257元
83,3111,90013581,吉利汽车,博瑞,2017款 1.8T 旗舰4G型,17.98万,首付1.69万,月供5038元
244,3291,90005493,东风风光,580,2016款 1.5T 手动豪华型,8.99万,首付0.85万,月供2621元
238,2963,90014953,北汽绅宝,D50,2018款 1.5L 手动尊贵智联版,8.19万,首付0.75万,月供2333元
238,3292,90005495,北汽绅宝,X35,2016款 1.5L 手动时尚版,6.58万,首付0.63万,月供1962元
63,2878,90016063,北京,BJ40,2018款 2.0T 手动柴油四驱尊贵版,15.99万,首付1.59万,月供4731元
63,3280,90005186,北京,BJ80,2016款 2.3T 手动尊贵版,28.80万,首付2.83万,月供8285元
121,3037,90011330,比亚迪,S7,2017款 2.0TID 自动豪华型,11.99万,首付1.16万,月供3467元
121,90001100,90014215,比亚迪,宋MAX,2017款 1.5TI 自动舒适型,8.99万,首付0.90万,月供2750元
121,3189,90016346,比亚迪,宋,2018款 1.5TID 自动智联尊荣型,11.99万,首付1.18万,月供3530元
121,2577,90016355,比亚迪,速锐,2018款 1.5L 手动尊享型,6.99万,首付0.64万,月供1999元
121,381,90016350,比亚迪,F3,2018款 1.5L 手动精英型,4.89万,首付0.47万,月供1490元
245,3018,90011709,东风风行,景逸S50,2017款 1.5L 手动尊享型,7.49万,首付0.71万,月供2192元
83,3111,90013587,吉利汽车,博瑞,2017款 2.4L 标准型,11.98万,首付1.11万,月供3343元
244,3291,90006622,东风风光,580,2016款 改款 1.5T CVT舒适型,9.39万,首付0.89万,月供2734元
238,2963,90014949,北汽绅宝,D50,2018款 1.5L CVT豪华智驾版,7.99万,首付0.73万,月供2274元
63,2878,90016064,北京,BJ40,2018款 40L 2.0T 手动柴油四驱尊贵版,15.99万,首付1.55万,月供4596元
121,90001100,90012600,比亚迪,宋MAX,2017款 1.5TI 手动舒适型,7.99万,首付0.80万,月供2453元
121,3189,90016345,比亚迪,宋,2018款 1.5TID 自动智联尊贵型,10.99万,首付1.08万,月供3238元
121,2577,90016354,比亚迪,速锐,2018款 1.5L 手动畅享型,6.59万,首付0.60万,月供1885元
