title,info,location,totalprice,unitprice
南北通 不沿马路满五唯一高楼层采光好视野广阔,"梦琴湾 , | 3室2厅 | 131.39平米 | 南 北 | 毛坯 | 有电梯","高楼层(共28层)2007年建板楼  -  ,沿江北","300,万",单价22833元/平米
梦琴湾大三房，南北通双阳台，看房方便,"梦琴湾 , | 3室2厅 | 149.02平米 | 南 | 毛坯 | 有电梯","中楼层(共31层)2007年建板楼  -  ,沿江北","350,万",单价23487元/平米
地铁口600米左右 东边套 不临街 满五唯一 楼层棒,"嘉绿景苑东园 , | 2室1厅 | 73平米 | 南 | 简装","高楼层(共15层)2007年建板楼  -  ,文三西路","312,万",单价42740元/平米
金盛曼城 2室2厅 325万,"金盛曼城 , | 2室2厅 | 88.82平米 | 南 | 简装 | 有电梯","低楼层(共18层)2010年建板楼  -  ,浦沿","325,万",单价36591元/平米
古荡新村西区 1室1厅 150万,"古荡新村西区 , | 1室1厅 | 32.87平米 | 南 | 简装 | 无电梯","低楼层(共6层)1988年建板楼  -  ,古荡","150,万",单价45635元/平米
低总价的小两房 满五唯一 低于市场价 南北通透,"体育场路2-70号 , | 2室1厅 | 45.15平米 | 南 北 | 毛坯 | 无电梯","高楼层(共6层)1990年建板楼  -  ,建国北路","186,万",单价41197元/平米
朝晖六区 满五且唯一 全明边套 南北通 中间楼层,"朝晖六区 , | 2室1厅 | 55.66平米 | 南 | 毛坯 | 无电梯","中楼层(共6层)1986年建板楼  -  ,朝晖","228,万",单价40963元/平米
广厦天都城天星苑 精装修两房 满五唯一 车位另算,"广厦天都城天星苑 , | 2室2厅 | 82.76平米 | 南 | 精装","高楼层(共16层)2007年建板楼  -  ,星桥","218,万",单价26342元/平米
江南豪园 3室2厅 640万,"江南豪园 , | 3室2厅 | 152.09平米 | 南 | 精装 | 有电梯","低楼层(共18层)2005年建塔楼  -  ,滨江区政府","640,万",单价42081元/平米
通和戈雅公寓 3室2厅 360万,"通和戈雅公寓 , | 3室2厅 | 137.64平米 | 南 北 | 简装 | 有电梯","低楼层(共32层)2007年建板楼  -  ,闻堰","360,万",单价26156元/平米
文晖路106号 西边套 全明户型 电梯房 免双税 交通便利,"文晖路106号 , | 3室2厅 | 129.96平米 | 南 北 | 简装","中楼层(共15层)暂无数据  -  ,和平","550,万",单价42321元/平米
丹枫新村经典三房 户型方正 全明户型 随时看房总价低,"丹枫新村 , | 3室2厅 | 73.66平米 | 南 | 简装 | 无电梯","低楼层(共7层)1996年建板楼  -  ,文三西路","289,万",单价39235元/平米
近地铁口50米 简装空置 随时可看！！,"世茂江滨花园碧景湾 , | 2室1厅 | 85.73平米 | 南 | 简装 | 有电梯","高楼层(共30层)2009年建塔楼  -  ,沿江南","238,万",单价27762元/平米
岭上好楼层，中间位置，精装，有钥匙，随时看房,"赞成岭上花苑 , | 2室2厅 | 88.25平米 | 南 | 精装 | 有电梯","低楼层(共17层)2009年建板楼  -  ,转塘","245,万",单价27763元/平米
平凡里公寓二期  中高楼层  采光较好 满五唯一没双税,"平凡里公寓 , | 2室1厅 | 82.55平米 | 南 北 | 简装 | 无电梯","中楼层(共7层)2004年建板楼  -  ,流水苑","362,万",单价43853元/平米
朝晖七区 边套户型 运河景观房 有客厅,"朝晖七区 , | 2室1厅 | 54.4平米 | 南 | 精装 | 无电梯","高楼层(共7层)1985年建板楼  -  ,朝晖","212,万",单价38971元/平米
此房精装自住，客厅主卧带阳台朝南，朝北赠露台,"世茂江滨花园碧景湾 , | 3室2厅 | 89平米 | 南 | 精装","低楼层(共33层)2009年建塔楼  -  ,沿江南","280,万",单价31461元/平米
此房4.8号满五唯一  2房朝南 南北双阳台 赠送1个卧室,"中海定山府 , | 2室2厅 | 86.52平米 | 南 | 其他 | 有电梯","高楼层(共17层)2010年建板楼  -  ,转塘","285,万",单价32941元/平米
纯东边套。客厅朝东主卧朝南户型满五且唯一，随时看房,"景冉佳园 , | 2室2厅 | 59.36平米 | 南 | 毛坯 | 有电梯","低楼层(共32层)2014年建板塔结合  -  ,高教园区东","198,万",单价33356元/平米
大三房大面积，中上楼层东边套，赠送约9平方储藏室,"亲亲家园三期 , | 3室2厅 | 133.04平米 | 南 北 | 简装 | 有电梯","中楼层(共17层)2006年建板楼  -  ,三墩","425,万",单价31946元/平米
山水人家四房东边套，中间楼层不沿街户型正气！,"山水人家香溪地 , | 4室2厅 | 144.86平米 | 南 | 简装 | 无电梯","低楼层(共6层)2005年建板楼  -  ,文三西路","585,万",单价40384元/平米
世茂江滨花园  纯东边套大四房 大阳台  无 双 税,"世茂江滨花园瑞景湾 , | 4室2厅 | 187.12平米 | 南 北 | 毛坯 | 有电梯","低楼层(共33层)2010年建塔楼  -  ,沿江南","410,万",单价21912元/平米
